3 sequence; length of alignment 82
alifold output
    5    24  0  96.8%   0.095 CG:3   
    4    25  0  96.8%   0.097 GC:3   
    6    23  0  96.8%   0.097 CG:3   
    8    20  0  94.5%   0.167 GC:3   
    9    19  0  93.8%   0.205 GC:3   
    7    21  0  93.3%   0.194 AU:3   
    3    26  0  91.4%   0.255 AU:3   
   31    44  0  62.9%   0.883 CG:3   
   32    43  0  62.8%   0.879 AU:3   
   33    42  0  62.7%   0.882 GU:3   
   34    41  0  60.8%   0.912 AU:3   
   29    47  0  60.4%   0.978 AU:3   
   30    46  0  59.9%   0.931 UA:3   
   28    48  0  59.8%   1.079 GC:3   
   63    72  0  38.7%   1.631 GC:3   
   52    80  0  38.7%   2.056 CG:3   
   53    79  0  38.4%   2.048 GU:3   
   64    71  0  38.2%   1.742 UA:3   
   54    78  0  38.2%   1.928 GC:3   
   62    73  0  37.4%   1.374 AU:3   
   60    75  0  36.0%   2.138 GC:3   
   45    65  0  35.4%   1.149 CG:3    +
   44    66  0  35.3%   1.428 GU:3    +
   31    80  0  35.1%   1.473 CG:3    +
   32    79  0  35.1%   1.470 AU:3    +
   43    67  0  35.1%   1.437 UA:3    +
   33    78  0  34.9%   1.491 GC:3    +
   46    64  0  34.4%   1.443 AU:3    +
   59    76  0  34.4%   1.926 UG:3   
   42    68  0  34.2%   1.434 UG:3    +
   58    77  0  33.1%   1.776 UA:3   
   51    81  0  32.3%   1.983 UA:3   
   41    69  0  31.7%   1.422 UA:3    +
   30    81  0  29.6%   1.436 UA:3    +
   52    60  0  28.0%   1.562 CG:3    +
   51    61  0  27.0%   1.478 UA:3    +
   47    63  0  25.9%   1.675 UG:3    +
   66    74  0  24.6%   1.474 UA:3    +
   67    73  0  24.5%   1.992 AU:3    +
   65    75  0  24.5%   2.116 GC:3    +
   53    59  0  23.5%   1.534 GU:3    +
   68    72  0  23.5%   1.850 GC:3    +
   63    78  0  19.5%   2.643 GC:3    +
   62    79  0  18.2%   2.219 AU:3    +
   35    75  0  15.5%   0.942 GC:3    +
   12    17  0  14.3%   0.835 CG:3    +
   64    77  0  12.8%   2.243 UA:3    +
   48    60  0  11.8%   1.276 CG:3    +
   49    59  0  11.6%   0.936 AU:3    +
   50    58  0   9.9%   0.831 AU:3    +
   54    58  0   9.9%   1.159 GU:3    +
   64    76  0   8.7%   1.924 UG:3    +
   47    61  0   8.2%   1.078 UA:3    +
   39    71  0   3.0%   0.475 UA:3    +
   23    52  0   3.0%   0.355 GC:3    +
   22    53  0   2.9%   0.332 CG:3    +
   24    51  0   2.5%   0.313 GU:3    +
   21    54  0   2.4%   0.453 UG:3    +
   20    55  0   2.4%   0.459 CG:3    +
   37    73  0   2.2%   0.354 AU:3    +
   27    48  0   2.1%   0.261 GC:3    +
   16    60  0   2.0%   0.278 CG:3    +
   17    59  0   2.0%   0.537 GU:3    +
    9    20  0   2.0%   0.366 GC:3    +
    8    21  0   1.9%   0.349 GU:3    +
   39    70  0   1.9%   0.246 UA:3    +
   18    58  0   1.8%   0.236 AU:3    +
   28    82  0   1.8%   0.648 GC:3    +
   15    61  0   1.8%   0.265 UA:3    +
   26    49  0   1.7%   0.310 UA:3    +
   38    71  0   1.7%   0.228 UA:3    +
   57    63  0   1.4%   0.635 CG:3    +
   28    47  0   1.4%   0.194 GU:3    +
   56    64  0   1.3%   0.593 AU:3    +
   58    62  0   1.2%   0.733 UA:3    +
   36    73  0   1.0%   0.198 AU:3    +
    6    80  0   0.9%   0.181 CG:3    +
    7    79  0   0.9%   0.220 AU:3    +
    8    78  0   0.9%   0.298 GC:3    +
   57    76  0   0.8%   0.270 CG:3    +
   35    72  0   0.8%   0.149 GC:3    +
   34    73  0   0.8%   0.449 AU:3    +
   48    63  0   0.6%   1.144 CG:3    +
   55    78  0   0.5%   1.038 GC:3    +
   19    55  0   0.5%   0.148 CG:3    +
   20    54  0   0.5%   0.216 CG:3    +
   10    15  0   0.5%   0.082 AU:3    +
   50    59  0   0.5%   0.699 AU:3    +
